ID,国家名称,所属洲,现存确诊,可疑人数,累计确诊,死亡人数,治愈人数,确认计数等级,病死率排序,死亡率,历史记录
4804176,美国,北美洲,3085302,0,4771087,156806,1528979,1,64,3.28,https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json
4804232,巴西,南美洲,735335,0,2801921,95819,1970767,2,58,3.41,https://file1.dxycdn.com/2020/0315/559/3402160538577857305-135.json
4804187,印度,亚洲,586244,0,1908254,39795,1282215,3,98,2.08,https://file1.dxycdn.com/2020/0315/045/3402160534282889835-135.json
4804282,英国,欧洲,259455,0,306293,46299,539,11,3,15.11,https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json
4804189,俄罗斯,欧洲,185601,0,861423,14351,661471,4,125,1.66,https://file1.dxycdn.com/2020/0315/629/3402160517102843039-135.json
4804434,南非,非洲,148683,0,521318,8884,363751,5,121,1.70,https://file1.dxycdn.com/2020/0315/417/3402160540725164203-135.json
4804437,哥伦比亚,南美洲,143406,0,334979,11315,180258,9,59,3.37,https://file1.dxycdn.com/2020/0315/269/3402160512808052512-135.json
4804190,西班牙,欧洲,123940,0,302814,28498,150376,12,10,9.41,https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json
4804435,秘鲁,南美洲,117426,0,439890,20007,302457,7,37,4.54,https://file1.dxycdn.com/2020/0315/005/3402160540725341040-135.json
4804335,阿根廷,南美洲,115427,0,213522,3979,94116,18,108,1.86,https://file1.dxycdn.com/2020/0315/963/3402160508513085001-135.json
4804491,孟加拉国,亚洲,100926,0,244020,3234,139860,16,138,1.32,https://file1.dxycdn.com/2020/0315/485/3402160532135406028-135.json
4804244,墨西哥,北美洲,100838,0,449961,48869,300254,6,9,10.86,https://file1.dxycdn.com/2020/0315/566/3402160534282889843-135.json
4804173,法国,欧洲,80538,0,192334,30296,81500,20,2,15.75,https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json
4804286,厄瓜多尔,南美洲,75374,0,87041,5767,5900,29,18,6.62,https://file1.dxycdn.com/2020/0315/922/3402160517103019900-135.json
4804191,瑞典,欧洲,70463,0,81181,5747,4971,30,15,7.07,https://file1.dxycdn.com/2020/0315/516/3402160512807875646-135.json
4804569,玻利维亚,南美洲,57279,0,80153,3153,19721,31,48,3.93,https://file1.dxycdn.com/2020/0315/679/3402160529987745516-135.json
4804290,多米尼加,北美洲,55268,0,73117,1183,16666,35,127,1.61,https://file1.dxycdn.com/2020/0315/651/3402160506365601251-135.json
4804670,危地马拉,北美洲,46406,0,51542,2013,3123,45,49,3.90,https://file1.dxycdn.com/2020/0317/045/3402535547204640218-135.json
4804192,菲律宾,亚洲,44429,0,112593,2115,66049,24,107,1.87,https://file1.dxycdn.com/2020/0315/180/3402160512807875628-135.json
4804204,埃及,非洲,44271,0,94752,4912,45569,27,31,5.18,https://file1.dxycdn.com/2020/0315/246/3402160540725341003-135.json
4804203,比利时,欧洲,42891,0,70314,9850,17573,36,5,14.00,https://file1.dxycdn.com/2020/0315/838/3402160514955359353-135.json
4804573,洪都拉斯,北美洲,40053,0,43197,1377,1767,48,67,3.18,https://file1.dxycdn.com/2020/0315/610/3402160540725341073-135.json
4804291,印度尼西亚,亚洲,37618,0,115056,5388,72050,23,36,4.68,https://file1.dxycdn.com/2020/0315/308/3402160527840438594-135.json
4804238,荷兰,欧洲,37381,0,55415,6148,11886,41,7,11.09,https://file1.dxycdn.com/2020/0315/850/3402160510660568773-135.json
4804294,沙特阿拉伯,亚洲,34763,0,281435,2984,243688,13,147,1.06,https://file1.dxycdn.com/2020/0315/830/3402160536430373532-135.json
4804221,伊拉克,亚洲,33602,0,134722,5017,96103,21,54,3.72,https://file1.dxycdn.com/2020/0315/762/3402160510660568794-135.json
4804490,巴拿马,北美洲,31851,0,67453,1471,34131,39,94,2.18,https://file1.dxycdn.com/2020/0315/692/3402160525692954763-135.json
